index,transcriptid,gvkey,ticker,cik,ret,ym,converid,mostimportantdateutc,NOA,Pair,Quantity,Relevance,Clarity
0,2715204,28790,LW,1679273,0.117838,1/1/23,27152041,1/5/23,0,Null,8,10,10
1,2715204,28790,LW,1679273,0.117838,1/1/23,27152042,1/5/23,0,Null,8,10,10
2,2715204,28790,LW,1679273,0.117838,1/1/23,27152043,1/5/23,1,"[Analysts][Christopher Growe]And can you say how much of your contract renewals -- how much more you've done this year? Or how much less you'll have for you going forward?
[Executives][Bernadette Madarieta]No, I can't really speak to that. I'd say, overall, we've got probably about 25% that we'll need to continue to renegotiate. But again, that's based on pounds and not based on business or dollars.",7,8,9
6,2716089,2710,STZ,16918,-0.000992,1/1/23,27160897,1/5/23,0,Null,8,10,9
7,2716089,2710,STZ,16918,-0.000992,1/1/23,27160898,1/5/23,0,Null,8,10,9
275,2719953,4674,RF,1281761,0.091837,1/1/23,2719953276,1/20/23,0,Null,10,10,10
276,2719953,4674,RF,1281761,0.091837,1/1/23,2719953277,1/20/23,0,Null,8,10,9
277,2719953,4674,RF,1281761,0.091837,1/1/23,2719953278,1/20/23,0,Null,8,10,9
278,2719953,4674,RF,1281761,0.091837,1/1/23,2719953279,1/20/23,0,Null,8,10,9
279,2719953,4674,RF,1281761,0.091837,1/1/23,2719953280,1/20/23,0,Null,8,10,9
280,2719953,4674,RF,1281761,0.091837,1/1/23,2719953281,1/20/23,0,Null,8,10,10
281,2719963,5786,HBAN,49196,0.075887,1/1/23,2719963282,1/20/23,0,Null,10,10,10
282,2719963,5786,HBAN,49196,0.075887,1/1/23,2719963283,1/20/23,0,Null,8,10,9
283,2719963,5786,HBAN,49196,0.075887,1/1/23,2719963284,1/20/23,0,Null,8,10,10
284,2719963,5786,HBAN,49196,0.075887,1/1/23,2719963285,1/20/23,0,Null,10,10,10
310,2719987,9465,SLB,87347,0.065844,1/1/23,2719987311,1/20/23,0,Null,8,10,9
311,2719987,9465,SLB,87347,0.065844,1/1/23,2719987312,1/20/23,0,Null,8,10,9
312,2719987,9465,SLB,87347,0.065844,1/1/23,2719987313,1/20/23,0,Null,8,10,9
313,2719987,9465,SLB,87347,0.065844,1/1/23,2719987314,1/20/23,0,Null,8,10,9
314,2719987,9465,SLB,87347,0.065844,1/1/23,2719987315,1/20/23,0,Null,8,10,10
315,2719987,9465,SLB,87347,0.065844,1/1/23,2719987316,1/20/23,0,Null,8,10,9
316,2719987,9465,SLB,87347,0.065844,1/1/23,2719987317,1/20/23,0,Null,10,10,10
317,2719991,10035,STT,93751,0.177388,1/1/23,2719991318,1/20/23,0,Null,8,10,9
318,2719991,10035,STT,93751,0.177388,1/1/23,2719991319,1/20/23,0,Null,10,10,10
319,2719991,10035,STT,93751,0.177388,1/1/23,2719991320,1/20/23,0,Null,8,10,9
320,2719991,10035,STT,93751,0.177388,1/1/23,2719991321,1/20/23,0,Null,8,10,9
321,2719991,10035,STT,93751,0.177388,1/1/23,2719991322,1/20/23,0,Null,8,10,9
322,2719991,10035,STT,93751,0.177388,1/1/23,2719991323,1/20/23,0,Null,8,10,9
323,2719991,10035,STT,93751,0.177388,1/1/23,2719991324,1/20/23,0,Null,8,10,9
